tempo,harmony_mean,harmony_var,percussive_mean,percussive_var,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,roloff_mean,roloff_var,zero_crosing_rate_mean,zero_crosing_rate_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
78.30255682,-8.96E-07,0.005599841,5.92E-05,0.003036316,0.37418595,0.085682087,0.103361629,0.001103094,2109.337133,299313.3169,1933.798703,86266.99445,3843.926756,820140.1345,0.115891967,0.002266838,-126.8666077,2303.610107,103.5042343,664.2075806,-31.89562607,365.3140869,58.71984863,277.6326904,-1.962229967,259.2837219,-3.124736786,150.9519653,-2.93447876,98.65470886,0.365945876,90.09087372,-3.029118776,138.1336517,-0.832061946,57.60206985,5.591940403,127.4063263,-10.14417744,108.436409,0.732738197,87.48910522,-1.623948216,57.49657822,-10.05024338,53.85684204,-5.208334923,58.19618225,-9.043372154,46.71120834,-4.72858572,43.34374619,-1.037696719,47.93780899,-2.846361637,49.38490295,country
89.10290948,1.51E-06,0.009651762,-6.24E-06,0.002308888,0.309865385,0.089177243,0.117109485,0.002026655,1213.994582,146616.0845,1555.331196,153407.9789,2274.019583,956069.4009,0.054208667,0.000465884,-171.2602081,2245.59375,160.5007935,614.4310303,-17.80306625,482.9244995,30.51622963,176.67453,7.516805649,185.1303406,-8.254948616,135.3999786,-5.669746399,72.95362091,0.135480061,72.65058136,-8.833363533,76.65569305,-2.652846575,52.53926086,0.704586685,94.70946503,-3.783462048,57.83422089,-6.499368668,56.62298203,3.78774929,42.31842422,-5.428369522,41.82674026,-3.074613333,36.84574127,-6.251707554,51.68893433,-1.939457417,41.76926041,-0.837963283,36.84208679,-1.435007572,34.34534073,country
86.1328125,-9.15E-07,0.008077617,-1.51E-05,0.001022674,0.25090155,0.090882719,0.092585362,0.001750412,1537.614201,339504.5185,1716.081352,95851.7924,3054.864861,1179291.529,0.068123927,0.001886661,-213.5674896,4190.62793,117.2285461,627.0695801,-21.87037086,512.5531006,45.65528488,290.9735107,-10.2808857,299.6619568,5.058769703,171.7032928,-11.91326618,202.703598,5.566491127,100.3067245,-17.81174469,164.7345581,0.187039867,127.7830124,-14.16327953,120.2515259,-1.150014639,108.0881119,-10.30549908,79.39824677,-4.049726486,94.14273834,-6.6372118,72.27368927,-5.421158314,94.20043182,-9.715488434,83.63241577,-3.204671383,71.23983002,-4.448883057,59.18236542,-9.154214859,69.48039246,country
151.9990809,2.82E-06,0.016669894,-3.94E-05,0.004124142,0.345062554,0.08410082,0.156651527,0.002377532,1711.175091,167592.1587,1873.507906,89275.73249,3556.561827,1056551.884,0.082273501,0.000595655,-96.26155853,1782.431274,131.9269562,446.8638306,-26.33004189,299.2987976,35.99042511,196.3457794,-22.81341171,179.2025604,14.49750137,147.3155212,-11.8413744,166.3174744,11.80529308,124.3864975,-21.22245598,101.8585129,11.53706646,103.2070465,-12.92712212,56.25556183,7.182189465,94.37998962,-13.94322014,68.19454193,2.952952623,65.52138519,-5.027211666,51.97322464,1.53358686,47.31038284,-4.391206741,54.73594666,2.54238677,49.5918045,-5.369874001,47.73921967,-5.968141079,40.41452408,country
112.3471467,-3.09E-07,0.005858271,-1.09E-05,0.00202544,0.352270097,0.086257681,0.087164536,0.002204852,1327.831388,174798.0888,1632.974506,68508.53628,2756.025001,720220.6767,0.06108731,0.001012407,-217.141983,2648.915771,136.159256,697.8774414,-10.35075092,228.945282,51.38357925,249.5303497,2.616282463,212.9860992,15.12440014,112.6106567,-0.666066468,164.0203552,12.28802586,125.4088516,-6.228009224,95.47544098,7.792732716,91.12895203,-5.415248394,98.33888245,3.623719215,97.43746185,-2.809270859,99.46796417,-0.351482242,85.86317444,-0.553417921,91.51438141,0.370173335,103.6754532,-2.248748302,51.02826309,-2.49541378,99.67508698,4.188593388,79.31943512,0.342443496,80.86425781,country
83.35433468,-0.000127732,0.011727282,0.000184537,0.004323561,0.333914548,0.096564546,0.131469071,0.002427317,1615.21912,601826.5815,2017.329319,331871.547,3661.544526,3630347.162,0.058282716,0.001266948,-185.447052,5601.108887,118.4448547,1308.235352,17.8493824,319.0778809,48.89440536,323.0343628,-2.140128136,192.226944,21.36122131,212.0200806,-8.997418404,190.5930786,20.51494408,107.7423172,-11.41885948,181.1842346,9.272452354,179.1992493,-5.46492672,124.1268616,5.754743099,114.2188721,-2.967759609,117.2672729,3.453356743,104.0591125,-6.071806908,97.79350281,1.250409484,74.80081177,-5.968136787,79.51626587,7.061222553,152.1543121,-2.179114342,116.1776199,4.871661186,215.2714233,country
135.9991776,-3.50E-07,0.002592992,-7.89E-06,0.002956626,0.35916391,0.091170937,0.078261472,0.001590448,2614.199516,792108.4748,2655.920247,277274.7662,5435.2588,4005757.164,0.119286883,0.003373229,-153.8445435,2850.190674,83.67539215,839.0866089,-8.422263145,628.7653198,13.96993542,167.7164764,13.55182457,147.940033,3.772260666,212.572464,3.0061059,107.3136368,6.348149776,76.58326721,2.06562376,88.39515686,2.071200132,86.90919495,3.191629171,96.84409332,-0.474770457,75.10327148,-3.024189234,79.91455078,-4.535832882,80.63723755,-5.045157909,66.32131958,-4.922739506,69.95409393,-6.135895729,54.59169388,-1.669467807,63.51375198,0.460617959,74.33341217,-1.55318141,112.8193436,country
103.359375,2.91E-06,0.0162495,-3.76E-05,0.003967566,0.353716493,0.083781287,0.152694479,0.002719804,1622.938006,234176.1568,1963.460408,129893.471,3527.45367,1475826.88,0.066063093,0.000693527,-121.9242477,3048.081299,123.2346878,477.4333496,-8.489554405,517.0220337,51.59783936,221.1850739,-0.088174805,182.7671661,20.40129089,148.0914001,-11.87854004,127.9565582,16.27000999,88.21376038,-11.51260185,117.3332062,11.84251022,114.8019333,-8.078321457,88.75636292,9.129487038,56.0441246,-8.640469551,76.02099609,5.553822994,67.67718506,-5.718521118,72.5612793,3.948734283,74.58356476,-5.467745304,75.11776733,4.974435329,46.69802094,-3.037094116,68.06677246,-3.307522774,49.72782516,country
123.046875,-1.35E-06,0.013455723,-6.10E-06,0.001189017,0.282868385,0.095920891,0.110603459,0.003883841,894.186247,162085.0824,1195.410065,100396.2799,1638.990089,857402.4786,0.038680794,0.000442706,-250.8599548,5262.502441,163.1075897,701.1397095,-3.876157522,966.5924683,30.14798355,387.512085,5.585969925,437.0918274,7.484710693,147.0657959,4.025409222,159.0502319,-2.112009525,128.4083557,-5.469190121,141.3943634,-1.058678389,95.03366852,-9.987255096,103.9934464,1.815570712,81.89283752,-8.76190567,52.70605087,-7.048016548,84.735466,-4.219175339,61.4632225,-8.838668823,42.28589249,-7.403172016,51.51947021,-3.300411701,54.02354813,-5.141627789,48.85995102,-9.969669342,42.29130173,country
172.265625,-1.87E-08,0.005239653,-1.38E-05,0.001461051,0.349444658,0.089907542,0.083514556,0.001609985,1130.886211,193625.8533,1458.3591,160824.1807,2216.528264,1322111.963,0.050243082,0.000521839,-229.4438324,2329.478027,157.3101654,880.3165894,-16.76292038,300.5081482,31.88479233,232.8877716,-0.10618341,188.6206512,16.66703224,146.9376526,1.361312389,111.6834106,12.22431183,74.88638306,-3.869851112,134.9125824,6.833041191,105.9670792,-4.269818306,70.28692627,1.336925149,47.24125671,-5.893279552,43.49663925,-4.025722027,40.97477341,-5.252506733,48.14893723,-4.550038338,48.45139694,-6.810616493,47.22681808,-4.407479286,43.14915848,-4.182483196,40.950737,-6.347769737,44.74872208,country
